instruction[8..0] sub_stage[2..0] carry barrow comp | RSC MA_In M_I M_O IR_I IR_O PC_O PC_Up PC_jmp ALU_inst[3..0] A_I A_O N1_I N1_O N2_I N2_O R0I R0O R1I R1O R2I R2O
    000001001           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001001           011         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001001           100         -     -     -   |  0    0    0   1   0    0    0     0     0         0000       0   0   0    0    1    0    0   0   0   0   0   0
    000001001           101         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001001           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001010           010         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001010           011         -     -     -   |  0    0    0   1   0    0    0     0     0         0000       0   0   0    0    0    0    1   0   0   0   0   0
    000001010           100         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001010           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001010           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001011           010         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001011           011         -     -     -   |  0    0    0   1   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   1   0   0   0
    000001011           100         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001011           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001011           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001100           010         -     -     -   |  0    1    0   0   0    1    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001100           011         -     -     -   |  0    0    0   1   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   1   0
    000001100           100         -     -     -   |  1    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001100           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001100           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001101           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001101           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001101           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001101           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001101           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001110           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001110           011         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001110           100         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001110           101         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001110           110         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
    000001111           010         -     -     -   |  0    0    0   0   0    0    0     0     0         0000       0   0   0    0    0    0    0   0   0   0   0   0
